tool,issues_count,file,line,code,message
tsc,215,src/App.tsx,323,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,14,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,21,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,22,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,23,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,24,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,25,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,26,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,27,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,28,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
tsc,215,src/components/CommandBar.tsx,29,TS17004,Cannot use JSX unless the '--jsx' flag is provided.
